date,avg_price,min_price,max_price,mandi_count,missing_data,day,month,day_of_week,lag_1,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30
2025-05-13,1076.6451612903227,500.0,2500.0,31.0,0,13,5,1,1383.3333333333333,1167.3030303030303,1016.9038888888889,1134.9702194357367,1266.8286331350848,1411.1521105710185,1221.4156440044692
2025-05-14,1054.7661290322583,412.5,2150.0,0.0,1,14,5,2,1076.6451612903227,1339.7777777777778,1026.9130303030304,1091.7586206896551,1226.1126833142964,1413.1416176231064,1220.1825609492228
2025-05-15,1032.8870967741937,325.0,1800.0,62.0,0,15,5,3,1054.7661290322583,1183.6666666666667,2372.8214285714284,1032.564,1204.5727447582287,1317.4320224947326,1220.1933308416958
2025-05-16,1051.52125,650.0,4000.0,64.0,0,16,5,4,1032.8870967741937,1243.5185185185185,2063.76,1084.83453125,1177.1445635412977,1245.1292546375896,1219.0828881333625
2025-05-17,1018.5416666666666,675.0,1750.0,48.0,0,17,5,5,1051.52125,1299.4615384615386,2025.6043055555556,1059.5626315789473,1137.013153284887,1173.1962090026689,1217.7155226362868
2025-05-18,1049.0625,700.0,1500.0,32.0,0,18,5,6,1018.5416666666666,1341.397435897436,1267.8749019607844,1022.2685714285714,1095.2510195852535,1157.5667517197558,1218.6086535886677
2025-05-19,964.1081666666666,350.0,1675.0,60.0,0,19,5,0,1049.0625,1383.3333333333333,964.0524193548387,1045.9918367346938,1035.361710061444,1157.5707336706007,1215.8791979197333
2025-05-20,998.2321666666667,500.0,1750.0,60.0,0,20,5,1,964.1081666666666,1076.6451612903227,1167.3030303030303,1098.9032258064517,1024.159853686636,1145.4942434108605,1212.5234959484071
2025-05-21,997.6613559322035,500.0,1666.0,59.0,0,21,5,2,998.2321666666667,1054.7661290322583,1339.7777777777778,1047.9707272727273,1016.0020289580567,1121.0573561361764,1210.8465169037229
2025-05-22,1016.55875,350.0,1750.0,64.0,0,22,5,3,997.6613559322035,1032.8870967741937,1183.6666666666667,1081.9639655172414,1013.6694079903148,1109.1210763742718,1208.666343053148
2025-05-23,1059.9103703703704,500.0,3500.0,54.0,0,23,5,4,1016.55875,1051.52125,1243.5185185185185,1156.1503508771932,1014.8678537575105,1096.006208649404,1205.4583437029207
2025-05-24,1020.7918867924528,350.0,1400.0,53.0,0,24,5,5,1059.9103703703704,1018.5416666666666,1299.4615384615386,1035.803484848485,1015.18931377548,1076.1012335301837,1204.9579571010531
2025-05-25,1128.5714285714287,600.0,1700.0,28.0,0,25,5,6,1020.7918867924528,1049.0625,1341.397435897436,1050.7,1026.5477321428268,1060.8993758640402,1207.5536713867673
2025-05-26,1114.4338181818182,450.0,1700.0,55.0,0,26,5,0,1128.5714285714287,964.1081666666666,1383.3333333333333,1034.994423076923,1048.02282521642,1041.692267638932,1210.2016512235973
2025-05-27,1181.4083018867925,600.0,1700.0,53.0,0,27,5,1,1114.4338181818182,998.2321666666667,1076.6451612903227,999.0384615384615,1074.190844533581,1049.1753491101085,1216.280645901875
